hopen,to hope
horen,to hear
het hotel,hotel
houden,"to keep, hold"
de houding,attitude
het huis,house
de huisarts,doctor
de hulp,help
de hut,hut
het huwelijk,wedding
het ideaal,ideal
het idee,idea
iedereen,everyone
iemand,someone
ik,I
in,in
inderdaad,indeed
het individu,individual
individueel,individually
de indruk,impression
de informatie,information
ingaan,to enter
het initiatief,initiative
inleveren,to hand in
inmiddels,in the meantime
instappen,to get in
het instrument,instrument
interessant,interesting
interesseren,to be interested
internationaal,international
intussen,meanwhile
de invloed,influence
ja,yes
het jaar,year
jammer,unfortunately
de jas,jacket
je,"you (single, informal, subject)"
de jeugd,youth
jezelf,yourself
jij,"you (single, informal, stressed)"
jong,young
"jong, oud","young, old"
de jongeman,young man
jou,"you (informal, indirect object)"
juist,"right, correct"
jullie,you (plural)
juni,june
de jurk,dress
de kaas,cheese
kalm,calm
de kamer,room
het kamp,camp
de kans,opportunity
de kant,side
het kantoor,office
kapot,broken
het karakter,character
de kast,closet
de kat,cat
de keel,throat
de keer,times
de kenmerken,characteristics
kennen,to know
de kerk,church
de kern,core
de keuken,kitchen
de keuze,choice
kiezen,to select
kijken,to look
de kilometer,kilometers
het kind,child
de kist,chest
klaar,ready
de klacht,complaint
de klant,customer
de klap,blow
de klas,class
klassiek,classic
het kleed,carpet
klein,small
de kleren,clothes
de kleur,color
klimmen,to climb
knap,good looking
de knie,knee
koel,cool
de koffer,suitcase
de koffie,coffee
komen,to come
de koning,king
de koningin,queen
de kop,headline
kopen,to buy
kort,short
kosten,to cost
koud,cold
de kracht,power
krachtige,powerful
krijgen,"to get, receive"
de kring,circle
het kruis,cross
kunnen,"can, to be able to"
de kunstenaar,artist
de kust,coast
de kwaliteit,quality
kwijt,lost
laag,low
laat,late
laatste,last
lachen,to laugh
het landschap,landscape
lang,long
"lang, kort","tall, short"
langs,along
langskomen,to pass by
langzaam,slowly
"langzaam, snel","slow, fast"
de last,burden
laten,to let
later,later
de leeftijd,age
leeg,empty
de leer,leather
de leerling,pupil
leiden,to lead
de leider,leader
de leiding,leadership
lekker,"tasty, nice"
"lekker, vies","tasty, disgusting"
lelijk,ugly
lenen,to borrow
de leraar,teacher
leren,to learn
leuk,fun
leven,to live
leveren,to deliver
lezen,to read
het lichaam,body
het licht,light
het lid,member
lief,sweet
de liefde,love
liefst,most preferably
liggen,to lie
het lijk,corpse
de lijst,list
links,left
de lip,lip
de literatuur,literature
logisch,logical
lopen,to walk
los,loose
de lucht,sky
luisteren,to listen
de luitenant,lieutenant
lukken,"to succeed, work out"
de maag,stomach
de maaltijd,meal
de maan,moon
de maand,month
maar,but
de maat,measure
de maatregel,measure
de maatschappij,society
de machine,machine
de macht,power
maken,to make
makkelijk,easy
de mama,mom
de man,man
"man, echtgenoot",husband
de manier,way
de markt,market
het materiaal,material
me,me (unstressed)
medisch,medical
meebrengen,to bring with
meedoen,to participate
meegeven,to give with
meekijken,to watch with..
meekomen,to come along
meenemen,to take with
meer,more
meestal,mostly
de meester,master
menen,to mean
de mening,opinion
de mens,human
menselijk,human
het mes,knife
met,with
meteen,right away
de meter,meter
de methode,method
de mevrouw,Mrs.
mezelf,myself
mij,me (stressed)
mijn,my
het milieu,environment
de miljoen,million
de minister,minister
de minuut,minute
misschien,maybe
missen,to miss
modern,modern
moe,tired
de moed,courage
de moeder,mother
moeilijk,difficult
"moeilijk, makkelijk","difficult, easy"
de moeilijkheid,difficulty
de moeite,effort
moeten,"should, must"
mogelijk,possible
de mogelijkheid,possibility
mogen,"to be allowed to, may"
het moment,moment
de mond,mouth
mooi,"beautiful, pretty"
"mooi, lelijk","pretty, ugly"
het motief,motive
het museum,museum
de muur,wall
de muziek,music
na,after
de naam,name
naar,to
naast,next to
de nacht,night
namelijk,namely
nat,wet
nationaal,national
de natuur,nature
natuurlijk,of course
nauwelijks,barely
nauwkeurig,accurate
nee,no
neerleggen,to put down
neerzetten,to put down
negatief,negative
"negatief, positief","negative, positive"
de nek,neck
nemen,to take
nergens,nowhere
net,just
de neus,nose
niemand,nobody
niet,not
nieuw,new
"nieuw, oud","new, old"
niks,nothing
noch,neither
nodig,required
nog,yet
nogal,quite
de noodzaak,need
noodzakelijk,necessary
het noorden,north
normaal,normal
nou,well
nu,now
het nummer,number
nuttig,helpful
het object,object
of,or
officieel,officially
de officier,officer
oktober,October
de olie,oil
om,around
omgaan met,to handle
de omgeving,surroundings
omhoog,up
de omstandigheid,circumstance
ondanks,despite
onder,below
het onderscheid,"difference, distinction"
het onderwerp,"topic, subject"
het onderwijs,education
het onderzoek,research
het ongeluk,accident
ongetwijfeld,"undoubtedly, surely"
ongeveer,approximately
onmiddellijk,immediately
onmogelijk,impossible
"ons, onze",our
ontbreken,to lack
ontmoeten,to meet
de ontmoeting,meeting
de ontwikkeling,development
onverwacht,unexpected
het oog,eye
ooit,ever
ook,also
de oom,uncle
het oor,ear
het oordeel,judgement
de oorlog,war
de oorzaak,cause
op,on
opbellen,to call up
de opdracht,"assignment, exercise"
opeens,suddenly
open,open
"open, dicht","open, closed"
openbaar,public
opendoen,to open
openen,to open
de operatie,operation
ophalen,to pick up
de opleiding,education
oplossen,to resolve
de oplossing,solution
de opmerking,comment
opnieuw,again
opschrijven,to write down
opstaan,to get up
de opvatting,view
de opvoeding,education
het orgaan,organ
de organisatie,organization
organiseren,to organize
oud,old
over,about
overal,everywhere
de overeenkomst,agreement
de overheid,government
overig,"other, remaining"
overigens,moreover
het overleg,consultation
oversteken,to cross
het paard,horse
het pad,path
het pak,business suit
pakken,to grab
het papier,paper
de partner,partner
pas,only
passeren,to pass
de patiënt,patient
het patroon,pattern
de periode,period
de pers,press
het personeel,staff
de persoon,person
persoonlijk,personally
de persoonlijkheid,personality
de pijn,pain
pijnlijk,painful
de plaat,plate
de plaats,place
de plaatsen,place
het plan,plan
de plant,plant
de plek,place
het plezier,pleasure
plotseling,suddenly
de poging,attempt
de politie,law enforcement
de poot,leg
de positie,position
positief,positive
de pot,pot
prachtig,magnificent
de praktijk,practice
praktisch,practical
praten,to talk
de president,president
prettig,pleasant
